paper_number,forum_id,spotlight,title,abstract,authors,decision
14,AHIbRIhSNx,False,Learning on the Fly: Rapid Policy Adaptation via Differentiable Simulation,"Learning control policies in simulation enables rapid, safe, and cost-effective development of advanced robotic capabilities. However, transferring these policies to the real world remains difficult due to the sim-to-real gap, where unmodeled dynamics and environmental disturbances can degrade policy performance. Existing approaches, such as domain randomization and Real2Sim2Real pipelines, can improve policy robustness, but either struggle under out-of-distribution conditions or require costly offline retraining. In this work, we approach these problems from a different perspective. Instead of relying on diverse training conditions before deployment, we focus on rapidly adapting the learned policy in the real world in an online fashion. To achieve this, we propose a novel online adaptive learning framework that unifies residual dynamics learning with real-time policy adaptation inside a differentiable simulation. Starting from a simple dynamics model, our framework continuously refines the model using real-world data to capture unmodeled effects and disturbances, such as payload changes and wind. The refined dynamics model is embedded in a differentiable simulation framework, enabling gradient backpropagation through the dynamics and thus rapid, sample-efficient policy updates beyond the reach of classical RL methods like PPO. All components of our system are designed for rapid adaptation, enabling the policy to adjust to unseen disturbances within 5 seconds of training. We validate the approach on agile quadrotor control under various disturbances in both simulation and the real world. Our framework reduces hovering error by up to 81% compared to L1-MPC and 55% compared to DATT, while also demonstrating robustness in vision-based control without explicit state estimation.","Jiahe Pan, Jiaxu Xing, Rudolf Reiter, Yifan Zhai, Elie Aljalbout, Davide Scaramuzza",Accept
15,phem2hIuWV,False,GSWorld: Closed-Loop Photorealistic Simulation Suite for Robotic Manipulation,"This paper presents GSWorld, a robust, photo- realistic simulator for robotics manipulation that combines 3D Gaussian Splatting with physics engines. Our framework advocates ‘closing the loop’ of developing manipulation policies with reproducible evaluation of policies learned from real-robot data and sim2real policy training without using real robots. To enable photo-realistic rendering of diverse scenes, we propose a new asset format, which we term GSDF (Gaussian Scene Description File), that infuses Gaussian-on-Mesh representation with robot URDF and other objects. With a streamlined reconstruction pipeline, we curate a database of GSDF that contains 3 robot embodiments for single-arm and bimanual manipulation, as well as more than 40 objects. Combining GSDF with physics engines, we demonstrate several immediate interesting applications: (1) learning zero-shot sim2real pixel-to- action manipulation policy with photo-realistic rendering, (2) automated high-quality DAgger data collection for adapting policies to deployment environments, (3) reproducible bench- marking of real-robot manipulation policies in simulation, (4) simulation data collection by virtual teleoperation, and (5) zero- shot sim2real visual reinforcement learning.","Guangqi Jiang, Haoran Chang, Ri-Zhao Qiu, Yutong Liang, Mazeyu Ji, Jiyue Zhu, Zhao Dong, Xueyan Zou, Xiaolong Wang",Accept
16,EjVChlugG1,False,PersistGS: Differentiable Physics for Object Permanence in 4D Gaussian Splatting,"Dynamic 3D Gaussian Splatting (3DGS) methods reconstruct time-varying scenes from synchronized multi-camera video using photometric supervision. When a moving object becomes fully occluded from all training cameras, this supervision vanishes: the Gaussians representing it receive no gradient signal and degrade. Existing approaches to incomplete observations in neural reconstruction rely on learned generative priors that prioritize visual plausibility over physical correctness. We propose $\textbf{PersistGS}$, a method that restores object permanence during occlusion by coupling differentiable rigid body simulation with 3D Gaussian Splatting. Our approach decomposes the scene into per-object Gaussians and collision meshes, estimates friction and velocity from the observed pre-occlusion trajectory via differentiable simulation, and uses the resulting SE(3) trajectory to position object Gaussians throughout the occlusion period. Because the predicted trajectory satisfies the governing equations of rigid body dynamics, it faithfully captures contact events (bounces, friction-based deceleration, direction changes) that kinematic extrapolation cannot model. We introduce a centroid silhouette loss that isolates positional gradients from appearance noise, yielding 40\% lower trajectory error than photometric supervision. We evaluate using cameras withheld from training that observe the object during its occlusion. Experiments on synthetic scenes show that PersistGS outperforms constant velocity extrapolation by +2.46dB PSNR and comes within 0.19dB of a ground-truth trajectory upper bound.","Adrian Ramlal, John S. Zelek",Accept
17,oOdXSMAp2p,True,From Seeing to Simulating: Generative High-Fidelity Simulation with Digital Cousins for Generalizable Robot Learning and Evaluation,"Learning robust robot policies in real-world environments requires diverse data augmentation, yet scaling real-world data collection is costly due to the need for acquiring physical assets and reconfiguring environments. Therefore, augmenting real-world scenes into simulation has become a practical augmentation for efficient learning and evaluation. We present a generative framework that establishes a generative real-to-sim mapping from real-world panoramas to high-fidelity simulation scenes, and further synthesize diverse cousin scenes via semantic and geometric editing. Combined with high-quality physics engines and realistic assets, the generated scenes support interactive manipulation tasks. Additionally, we incorporate multi-room stitching to construct consistent large-scale environments for long-horizon navigation across complex layouts. Experiments demonstrate a strong sim-to-real correlation validating our platform's fidelity, and show that extensively scaling up data generation leads to significantly better generalization to unseen scene and object variations, demonstrating the effectiveness of Digital Cousins for generalizable robot learning and evaluation.","Jasper Lu, Zhenhao Shen, Yuanfei Wang, Shugao Liu, Shengqiang Xu, Shawn Xie, Jingkai Xu, Feng Jiang, Jade Yang, Ruihai Wu",Accept
19,m5hgefJBxf,False,Verifying Digital-Twin Proxy Representations for Robust Sim2Real Locomotion Transfer,"Sim2real locomotion pipelines increasingly embed learned internal dynamics representations—compact latent states that function as adaptive surrogates of the deployment environment—inside policies for online adaptation. For such digital-twin proxy representations to support monitoring, diagnosis, and uncertainty-aware deployment, their fidelity must be directly verifiable, not merely inferred from downstream reward. We present a systematic verification protocol applying six complementary analyses (probes, interventions, Mutual Information Gap (MIG), Disentanglement–Completeness–Informativeness (DCI), Separated Attribute Predictability (SAP), mutual information) to a factored auxiliary-supervised latent (DynaMITE) on a Unitree G1 humanoid in Isaac Lab. The internal surrogate fails every fidelity check: probes yield $R^2 \approx 0$, clamping interventions produce negligible behavioral change, and standard disentanglement metrics are near zero. An unsupervised LSTM hidden state scores higher on every readout. A $2\times 2$ factorial ($n=10$) cleanly isolates the operative mechanism: a $\tanh$ information bottleneck—not the auxiliary supervision—drives observed robustness differences. A compound-mismatch transfer-readiness stress test (simultaneous friction, push, and delay perturbation, 10 seeds) reveals deployment-critical failure modes invisible to single-axis evaluation. Our results establish that a common factor-supervision assumption for internal twin representations does not survive verification, that compression architectures may provide robustness benefits independent of semantic factorization, and that sim2real pipelines relying on learned adaptive surrogates need direct fidelity checks before transfer.",Chayanin Chamachot,Accept
20,JWfxuCeqFw,True,DexNinja: Learning Robust Dexterous Cutting Policy with a Real-to-Sim-to-Real Data Engine,"Cutting a piece of food looks effortless in human hands: we nudge the blade, adjust the angle, modulate pressure as the skin yields and cuts. For a robot, however, every cut is a high-contact interaction with a deformable, elasto-plastic object whose behavior changes with pose, contact mode, and cutting stage. Collecting real-world data is also inherently expensive and wasteful: each trial typically contaminates, damages, or destroys the food, so obtaining scalable real world data for dexterous cutting are expensive and difficult. Simulation is an appealing alternative, but a large sim-to-real gap exists in both physics and perception. This gap is especially severe for topology-changing interactions like cutting, where small errors in contact, friction, or material and elastic transformations response quickly compound. We propose DexNinja, a differentiable real2sim2real framework that turns a handful of real demonstrations into a dense and realistic training distribution. DexNinja (i) reconstructs object instances from real trajectories, (ii) randomizes physically meaningful parameters (e.g., mass, geometry, friction) under category-level constraints, and (iii) augmented dexterous manipulation episodes using a custom differentiable simulator that couples robot dynamics, tactile contact, and deformable cutting. We evaluate DexNinja on a dexterous food-slicing task show that (1) the augmented data consistently improves sim-to-real transfer, and (2) the resulting policies generalize to out-of-distribution objects such as strawberries with varying shapes and sizes.","Haozhe Lou, Runyi Yang, Wanqi Zhong, Caiyun Liu, Yicheng Liu, Wenhao Liu, Wenlong Ma, Jiawei Xia, Xu Zheng, Danda Pani Paudel, Luc Van Gool, Hang Zhao, Yiming Li",Accept
23,WKXtovU0Ow,False,LSD-3D: Large-Scale 3D Driving Scene Generation with Geometry Grounding,"Large-scale scene data is essential for training and testing in robot learning. Neural reconstruction methods have promised the capability of reconstructing large physically-grounded outdoor scenes from captured sensor data. However, these methods have baked-in static environments and only allow for limited scene control – they are functionally constrained in scene and trajectory diversity by the captures from which they are reconstructed. In contrast, generating driving data with recent image or video diffusion models offers control, however, at the cost of geometry grounding and causality. In this work, we aim to bridge this gap and present a method that directly generates large-scale 3D driving scenes with accurate geometry, allowing for causal novel view synthesis with object permanence and explicit 3D geometry estimation. The proposed method combines the generation of a proxy geometry and environment representation with score distillation from learned 2D image priors. We find that this approach allows for high controllability, enabling the prompt-guided geometry and high-fidelity texture and structure that can be conditioned on map layouts – producing realistic and geometrically consistent 3D generations of complex driving scenes.","Julian Ost, Andrea Ramazzina, Amogh Joshi, Maximilian Bömer, Mario Bijelic, Felix Heide",Accept
24,ShXoqRUgA5,False,GaussTwin: Unified Simulation and Correction with Gaussian Splatting for Robotic Digital Twins,"Digital twins promise to enhance robotic manipulation by maintaining a consistent link between real-world perception and simulation. However, most existing systems struggle with the lack of a unified model, complex dynamic interactions, and the real-to-sim gap, which limits downstream applications such as model predictive control. Thus, we propose GaussTwin, a real-time digital twin that combines position-based dynamics with discrete Cosserat rod formulations for physically grounded simulation, and Gaussian splatting for efficient rendering and visual correction. By anchoring Gaussians to physical primitives and enforcing coherent SE(3) updates driven by photometric error and segmentation masks, GaussTwin achieves stable prediction–correction while preserving physical fidelity. Through experiments in both simulation and on a Franka Research 3 platform, we show that GaussTwin consistently improves tracking accuracy and robustness compared to shape-matching and rigid-only baselines, while also enabling downstream tasks such as push-based planning. These results highlight GaussTwin as a step toward unified, physically meaningful digital twins that can support closed-loop robotic interaction and learning.","Yichen Cai, Paul Jansonnie, Cristiana de Farias, Oleg Arenz, Jan Peters",Accept
25,ahdwKadyOB,True,Reliable and Scalable Robot Policy Evaluation with Imperfect Simulators,"Rapid progress in imitation learning, foundation models, and large-scale datasets has led to robot manipulation policies that generalize to a wide-range of tasks and environments. However, rigorous evaluation of these policies remains a challenge. Typically in practice, robot policies are often evaluated on a small number of hardware trials without any statistical assurances. We present SureSim, a framework to augment large-scale simulation with relatively small-scale real-world testing to provide reliable inferences on the real-world performance of a policy. Our key idea is to formalize the problem of combining real and simulation evaluations as a prediction-powered inference problem, in which a small number of paired real and simulation evaluations are used to rectify bias in large-scale simulation. We then leverage non-asymptotic mean estimation algorithms to provide confidence intervals on mean policy performance. Using physics-based simulation, we evaluate both diffusion policy and multi-task fine-tuned $\pi_0$ on a joint distribution of objects and initial conditions, and find that our approach saves over 20-25% of hardware evaluation effort to achieve similar bounds on policy performance.","Apurva Badithela, David Snyder, Lihan Zha, Joseph Mikhail, Matthew O'Kelly, Anushri Dixit, Anirudha Majumdar",Accept
26,VlTFMca1NH,False,AIrchitect: Domain-Grounded Interactive 3D World Generation for Social Robotics,"Training and validating embodied AI requires realistic simulated indoor environments, yet existing generation methods are difficult to combine and rarely support converting real floorplans into simulation. We introduce AIrchitect, an open-source platform that generates interactive 3D indoor environments from natural language prompts or floorplan images. Its microservice architecture lets users swap between diffusion-based, procedural, and LLM-based backends for both floorplan generation and asset placement, all behind a common API. A web-based frontend exposes the full pipeline from domain selection, through interactive editing, to export. We generate 450 worlds across residential, hospital, and office domains and report structural and perceptual quality metrics. The repository is publicly available at https://github.com/voshch/AIrchitect.","Volodymyr Shcherbyna, Do Duc Anh, Duc Tai Nguyen, Linh Kästner",Accept
27,OWTj8Y5rdA,False,A Real2Sim Digital Twin Pipeline for Photorealistic Robot Simulation: Evaluating VLA Policy Deployment on a Bimanual Mobile Robot,"Digital twins that are automatically constructed from robot sensor data offer a promising pathway for scalable Real2Sim and Sim2Real transfer. However, it remains an open question whether photorealistic reconstruction alone is sufficient to support reliable deployment of vision-language-action (VLA) policies. We present a generative-AI-assisted Real2Sim pipeline that generates simulation-ready digital twins from real-world RGB observations with minimal manual intervention. The pipeline uses prompted segmentation to isolate scene components and a generative 3D model to directly produce simulation assets, eliminating the need for traditional multi-view reconstruction or manual 3D modeling. To evaluate simulation fidelity, we deploy and compare policies from two VLA models in both the real robot and the reconstructed simulation under identical tasks and initial conditions. We compare joint-level action trajectories and analyze how divergence evolves over time in closed-loop execution. Although the reconstructed environments are visually accurate, we observe increasing trajectory divergence during closed-loop operation. These results indicate that photorealistic reconstruction alone is insufficient to preserve closed-loop control behavior in VLA policies, particularly in contact-rich manipulation settings where small perceptual errors compound over time.","Jasmin Lin, David Keetae Park, Carlos Xavier Soto, Shinjae Yoo, Wei Xu",Accept
28,s0YXBjERQh,False,SimFoundry: Modular and Automated Scene Generation for Policy Learning and Evaluation,"Training and evaluating robot policies in the real world can be costly and difficult to scale. Simulation offers a sandbox for efficient policy evaluation and generation of policy training samples, but traditionally requires substantial engineering effort to construct simulated environments that align with reality. While this burden has been alleviated by prior work proposing end-to-end methods for generating pre-processed and annotated ``sim-ready'' scenes useful for downstream robotics tasks, these approaches often cannot be further tuned or controlled by the human operator, limiting the applicability of the generated data to the target tasks. To mitigate these challenges, we introduce a novel modularized and automated system named \textsc{SimFoundry}, enabling zero-shot real-to-sim scene construction from a single image. Our system supports automated object, scene, and task editing, enabling the generation of infinite variations of the real-world scene for training more generalizable policies. We leverage our system in both training (real-to-sim-to-real) and evaluation (real-to-sim) settings and show that our system can generate useful training data, as well as sim-ready scenes that produce correlative signals to real-robot evaluations of trained policies, resulting in more robust co-trained policies across a broad range of robot manipulation tasks, including multiple tasks that surpass the complexity of those shown by prior work and require multiple steps, articulated interaction, and bimanual coordination.","Nadun Ranawaka Arachchige, Josiah Wong, Wei-Lin Pai, Wei-Teng Chu, Tianyuan Dai, Masoud Moghani, Hang Yin, Yunfan Jiang, Wesley Durbano, Brandon Bryce Huynh, Linxi Fan, Danfei Xu, Ruohan Zhang, Li Fei-Fei, Bowen Wen, Ajay Mandlekar, Yuke Zhu",Accept
30,ptlj7fTK62,True,V-Dreamer: Automating Robotic Simulation and Trajectory Synthesis via Video Generation Priors,"Training generalist robots demands large-scale, diverse manipulation data, yet real-world collection is prohibitively expensive, and existing simulators are often constrained by fixed asset libraries and manual heuristics. To bridge this gap, we present V-Dreamer, a fully automated framework that generates open-vocabulary, simulation-ready manipulation environments and executable expert trajectories directly from natural language instructions. V-Dreamer employs a novel generative pipeline that constructs physically grounded 3D scenes using large language models and 3D generative models, validated by geometric constraints to ensure stable, collision-free layouts. Crucially, for behavior synthesis, we leverage video generation models as rich motion priors. These visual predictions are then mapped into executable robot trajectories via a robust Sim-to-Gen visual-kinematic alignment module utilizing CoTracker3 and VGGT. This pipeline supports high visual diversity and physical fidelity without manual intervention. To evaluate the generated data, we train imitation learning policies on synthesized trajectories encompassing diverse object and environment variations. Extensive evaluations on tabletop manipulation tasks using the Piper robotic arm demonstrate that our policies robustly generalize to unseen objects in simulation and achieve effective sim-to-real transfer, successfully manipulating novel real-world objects.","Songjia He, Zixuan Chen, Hongyu Ding, Dian Shao, Jieqi Shi, Chenxu Li, Jing Huo, Yang Gao",Accept
31,3XxuVnCAq0,False,Procedural Digital Cousins for Scalable Robot Learning in Space,"Robots play a transformative role in the future of space exploration, from fleets of autonomous rovers navigating unstructured planetary surfaces to robotic manipulators constructing orbital megastructures. However, the adoption of data-intensive robot learning methods in this domain is severely hindered by extreme data scarcity and the practical infeasibility of physical training upon deployment. While high-fidelity digital twins are highly effective for terrestrial workflows, constructing an exact virtual replica is often infeasible for the unpredictable off-world environments. To address this limitation, we introduce the Space Robotics Bench, an open-source framework that leverages procedural content generation and domain randomization to synthesize a vast distribution of physically plausible scenarios. To ensure reliable sim-to-real transfer, the foundational parameters of these generative environments are anchored to physical analogue facilities via the incorporation of digital cousins across both planetary and orbital operations. We establish baselines using reinforcement learning algorithms and demonstrate the efficacy of the framework by successfully achieving zero-shot sim-to-real transfer of a learned navigation policy. Our results show that agents trained across diverse procedural simulations achieve robustness, which highlights the generative approach as a highly scalable pipeline for providing the statistical assurance required to deploy autonomous systems beyond Earth.","Andrej Orsula, Ricard M Castan, Miguel Olivares-Mendez, Carol Martinez",Accept
35,FTLkxTQKud,False,SIMPACT: Simulation-Enabled Action Planning using Vision-Language Models,"Vision-Language Models (VLMs) exhibit remarkable common-sense and semantic reasoning capabilities. However, they lack a grounded understanding of physical dynamics. This limitation arises from training VLMs on static internet-scale visual-language data that contain no causal interactions or action-conditioned changes. Consequently, it remains challenging to leverage VLMs for fine-grained robotic manipulation tasks that require physical understanding, reasoning, and corresponding action planning. To overcome this, we present $\textbf{SIMPACT}$, a test-time, $\textbf{SIM}$ulation-enabled $\textbf{ACT}$ion $\textbf{P}$lanning framework that equips VLMs with physical reasoning through simulation-in-the-loop world modeling, without requiring any additional training. From a single RGB-D observation, SIMPACT efficiently constructs physics simulations, enabling the VLM to propose informed actions, observe simulated rollouts, and iteratively refine its reasoning. By integrating language reasoning with physics prediction, our simulation-enabled VLM can understand contact dynamics and action outcomes in a physically grounded way. Our method demonstrates state-of-the-art performance on seven challenging, real-world rigid-body and deformable manipulation tasks that require fine-grained physical reasoning, outperforming existing general-purpose robotic manipulation models. Our results demonstrate that embedding physics understanding via efficient simulation into VLM reasoning at test time offers a promising path towards generalizable embodied intelligence.","Haowen Liu, Shaoxiong Yao, Haonan Chen, Jiawei Gao, Jiayuan Mao, Jia-Bin Huang, Yilun Du",Accept
